Wall time,Step,Value
1713900271.0430958,1761280,694.0
1713900273.9559286,1763840,1432.0
1713900276.6847737,1766400,1127.0
1713900279.5026112,1768960,722.0
1713900282.2134564,1771520,1434.0
1713900285.1602895,1774080,722.0
1713900288.1751194,1776640,1519.0
1713900291.3439393,1779200,1438.0
1713900294.126776,1781760,688.0
1713900296.7716253,1784320,1128.0
1713900299.66846,1786880,295.0
1713900302.747285,1789440,702.0
1713900305.302139,1792000,302.0
1713900308.0299819,1794560,1149.0
1713900310.8538213,1797120,817.0
1713900313.905649,1799680,1128.0
1713900316.6284933,1802240,1417.0
1713900319.2213438,1804800,313.0
1713900322.2221742,1807360,679.0
1713900325.130007,1809920,1126.0
1713900327.69286,1812480,1435.0
1713900330.1927168,1815040,1128.0
1713900332.9125617,1817600,301.0
1713900335.8843918,1820160,867.0
1713900338.669235,1822720,684.0
1713900341.330081,1825280,809.0
1713900343.890935,1827840,2469.0
1713900346.6067793,1830400,1663.0
1713900349.1056373,1832960,722.0
1713900351.6414924,1835520,1437.0
1713900354.162348,1838080,1127.0
1713900356.6452065,1840640,688.0
1713900359.1770618,1843200,312.0
1713900361.827913,1845760,1128.0
1713900364.4647598,1848320,1410.0
1713900366.9516177,1850880,312.0
1713900369.5434701,1853440,297.0
1713900372.0233285,1856000,1128.0
1713900374.6651776,1858560,872.0
1713900377.4020226,1861120,1434.0
1713900380.448849,1863680,1249.0
1713900383.4346793,1866240,1130.0
1713900386.1925209,1868800,307.0
1713900388.8933659,1871360,1125.0
1713900391.474219,1873920,1409.0
1713900394.3920517,1876480,312.0
1713900396.8729105,1879040,1986.0
1713900399.4307644,1881600,680.0
1713900402.3885968,1884160,311.0
1713900405.3824236,1886720,682.0
1713900408.396252,1889280,827.0
1713900411.062099,1891840,1675.0
1713900413.6179533,1894400,1415.0
1713900416.12881,1896960,315.0
1713900418.672667,1899520,1127.0
1713900421.6044998,1902080,722.0
1713900424.5633287,1904640,1518.0
1713900427.334172,1907200,709.0
1713900430.406995,1909760,1130.0
1713900433.4158244,1912320,1423.0
1713900436.057673,1914880,1430.0
1713900438.5525296,1917440,684.0
1713900441.0503874,1920000,1434.0
1713900443.5762427,1922560,700.0
1713900446.1220984,1925120,1958.0
1713900448.6169548,1927680,1129.0
1713900451.1938076,1930240,1134.0
1713900453.858657,1932800,829.0
1713900456.3715122,1935360,1423.0
1713900458.8753693,1937920,301.0
1713900461.4532235,1940480,299.0
1713900463.9650795,1943040,1519.0
1713900466.4839349,1945600,682.0
1713900469.0727882,1948160,314.0
1713900471.6066432,1950720,683.0
1713900474.1244988,1953280,1959.0
1713900476.6683547,1955840,310.0
1713900479.2362065,1958400,2473.0
1713900481.7890623,1960960,705.0
1713900484.5079057,1963520,706.0
1713900487.0757587,1966080,1129.0
1713900489.5826159,1968640,1424.0
1713900492.4204538,1971200,707.0
1713900495.1832974,1973760,699.0
1713900497.8511436,1976320,1127.0
1713900500.4989927,1978880,1238.0
1713900503.0558465,1981440,1129.0
1713900505.5897017,1984000,687.0
1713900508.2085521,1986560,710.0
1713900510.7134092,1989120,1433.0
1713900513.4202554,1991680,312.0
1713900515.9661105,1994240,1129.0
1713900518.523963,1996800,679.0
1713900521.0508184,1999360,822.0
1713900523.877659,2001920,1413.0
1713900526.572504,2004480,1244.0
1713900529.2453508,2007040,313.0
1713900531.9571977,2009600,1427.0
1713900534.6770453,2012160,847.0
1713900537.2188957,2014720,1416.0
1713900539.8197472,2017280,1959.0
1713900542.5845912,2019840,1962.0
1713900545.0984478,2022400,697.0
1713900547.636301,2024960,1128.0
1713900550.1311584,2027520,859.0
1713900552.596018,2030080,722.0
1713900555.1438732,2032640,1958.0
1713900557.6757283,2035200,316.0
1713900560.2435806,2037760,694.0
1713900562.7044406,2040320,1433.0
1713900565.291293,2042880,704.0
1713900567.7621517,2045440,1126.0
1713900570.3040075,2048000,1425.0
1713900573.09685,2050560,1416.0
1713900575.8616905,2053120,1414.0
1713900578.798523,2055680,682.0
1713900581.6233625,2058240,1129.0
1713900584.4391994,2060800,684.0
1713900586.9220579,2063360,315.0
1713900589.5109105,2065920,310.0
1713900592.0387654,2068480,1129.0
1713900594.6016192,2071040,1796.0
